branch,document_id,criterion_id,item_uid,clause_id,path,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,layer1a_issues,layer1b_flags,layer1c_warnings,layer1d_issues,all_layer1_codes,layer1_policy_bucket,layer1_policy_severity,layer1_policy_action_hint,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_execution_issue_count
A,NCT02570347,NCT02570347_exc__item4_C1,NCT02570347_exc__item4,C1,exclusion_criteria.children[3].children[0],condition,Extensive local necrosis,exists,null,,,computable,Extensive local necrosis,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item4_C2,NCT02570347_exc__item4,C2,exclusion_criteria.children[3].children[1],other,blebs,exists,null,,,partial,blebs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item5_C1,NCT02570347_exc__item5,C1,exclusion_criteria.children[4].children[0],condition,Seriously-ill,exists,null,,,computable,Seriously-ill patients with hypotension/capillary leak/life threatening bleeding.,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item5_C2,NCT02570347_exc__item5,C2,exclusion_criteria.children[4].children[1],condition,capillary leak,exists,null,,,computable,Seriously-ill patients with hypotension/capillary leak/life threatening bleeding.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item5_C3,NCT02570347_exc__item5,C3,exclusion_criteria.children[4].children[2],condition,Seriously-ill,exists,null,,,computable,Seriously-ill patients with hypotension/capillary leak/life threatening bleeding.,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item6_C1,NCT02570347_exc__item6,C1,exclusion_criteria.children[5],condition,cobra bite,exists,null,,,computable,Suspected cobra bite,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item7_C1,NCT02570347_exc__item7,C1,exclusion_criteria.children[6].children[0],condition,Pregnant,exists,null,,,computable,Pregnant/breast-feeding women,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02570347,NCT02570347_exc__item7_C2,NCT02570347_exc__item7,C2,exclusion_criteria.children[6].children[1],condition,breast-feeding,exists,null,,,computable,Pregnant/breast-feeding women,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item1_C1,NCT02202369_inc__item1,C1,inclusion_criteria.children[0].children[0],procedure,lumbar decompression and fusion,exists,null,,,computable,Subjects undergoing a single level lumbar decompression and fusion,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item1_C2,NCT02202369_inc__item1,C2,inclusion_criteria.children[0].children[1],procedure,lumbar decompression and fusion,exists,null,,,computable,Subjects undergoing a single level lumbar decompression and fusion,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item2_C1,NCT02202369_inc__item2,C1,inclusion_criteria.children[1].children[0],demographic,> 18 years of age,>,scalar,18,years,computable,> 18 years of age,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item2_C2,NCT02202369_inc__item2,C2,inclusion_criteria.children[1].children[1],demographic,< 70 years of age,<,scalar,70,years,computable,< 70 years of age,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item3_C1,NCT02202369_inc__item3,C1,inclusion_criteria.children[2].children[0],other,the subject is willing and able to understand the study specific patient informed consent,exists,null,,,non_computable,"willing and able to understand, sign and date the study specific patient informed consent",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item3_C2,NCT02202369_inc__item3,C2,inclusion_criteria.children[2].children[1],other,the subject is willing and able to sign the study specific patient informed consent,exists,null,,,non_computable,"willing and able to understand, sign and date the study specific patient informed consent",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item3_C3,NCT02202369_inc__item3,C3,inclusion_criteria.children[2].children[2],other,the subject is willing and able to date the study specific patient informed consent,exists,null,,,non_computable,"willing and able to understand, sign and date the study specific patient informed consent",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item3_C4,NCT02202369_inc__item3,C4,inclusion_criteria.children[2].children[3],other,the subject is willing and able to sign and date the HIPAA authorization,exists,null,,,non_computable,sign and date the study specific patient informed consent and HIPAA authorization,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_inc__item3_C5,NCT02202369_inc__item3,C5,inclusion_criteria.children[2].children[4],other,Willing to volunteer participation in the study,exists,null,,,non_computable,to volunteer participation in the study,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item1_C1,NCT02202369_exc__item1,C1,exclusion_criteria.children[0].children[0],condition,liver disease,exists,null,,,computable,Patients with liver disease (documented liver function test abnormality),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item1_C2,NCT02202369_exc__item1,C2,exclusion_criteria.children[0].children[1],lab,liver function test,exists,null,,,computable,(documented liver function test abnormality),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item2_C1,NCT02202369_exc__item2,C1,exclusion_criteria.children[1].children[0],lab,glomerular filtration rate,<,scalar,60,mL/min,computable,Patients with renal disease (documented glomerular filtration rate < 60mL/min/1.73m2),,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item2_C2,NCT02202369_exc__item2,C2,exclusion_criteria.children[1].children[1],lab,glomerular filtration rate,<,scalar,60,mL/min,computable,documented glomerular filtration rate < 60mL/min/1.73m2,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item3_C1,NCT02202369_exc__item3,C1,exclusion_criteria.children[2],drug,opioid,>,scalar,30,mg,computable,baseline (pre-operative) opioid use greater than 30 mg of morphine equivalents/day,,,temporal_marker_without_temporal_context,,layer1c:temporal_marker_without_temporal_context,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:temporal_marker_without_temporal_context,1.0,1,0
A,NCT02202369,NCT02202369_exc__item4_C1,NCT02202369_exc__item4,C1,exclusion_criteria.children[3],condition,alcohol dependence,exists,null,,,computable,Patients with active alcohol dependence,,,critical_qualifier_missing_from_entity,,layer1c:critical_qualifier_missing_from_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:critical_qualifier_missing_from_entity,1.0,1,0
A,NCT02202369,NCT02202369_exc__item5_C1,NCT02202369_exc__item5,C1,exclusion_criteria.children[4],condition,illicit drug dependence,exists,null,,,computable,Patients with active illicit drug dependence,,,critical_qualifier_missing_from_entity,,layer1c:critical_qualifier_missing_from_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:critical_qualifier_missing_from_entity,1.0,1,0
A,NCT02202369,NCT02202369_exc__item6_C1,NCT02202369_exc__item6,C1,exclusion_criteria.children[5].children[0],demographic,patients < 18 years of age,<,scalar,18,years,computable,Patients < 18 years of age,,,comparison_entity_mismatch_from_source,,layer1c:comparison_entity_mismatch_from_source,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:comparison_entity_mismatch_from_source,1.0,1,0
A,NCT02202369,NCT02202369_exc__item6_C2,NCT02202369_exc__item6,C2,exclusion_criteria.children[5].children[1],demographic,Age,>,scalar,70,year,computable,>70 years of age,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item7_C1,NCT02202369_exc__item7,C1,exclusion_criteria.children[6],condition,allergic,exists,null,,,computable,Patients allergic to any medication given in either arm,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02202369,NCT02202369_exc__item8_C1,NCT02202369_exc__item8,C1,exclusion_criteria.children[7],condition,seizure disorder,exists,null,,,computable,Patients who have a seizure disorder,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_inc__item1_C1,NCT03434951_inc__item1,C1,inclusion_criteria.children[0],procedure,total knee arthroplasty,exists,null,,,computable,elective primary total knee arthroplasty,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_inc__item2_C1,NCT03434951_inc__item2,C1,inclusion_criteria.children[1].children[0],lab,ASA,exists,null,,,computable,ASA I-III,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_inc__item2_C2,NCT03434951_inc__item2,C2,inclusion_criteria.children[1].children[1],lab,ASA,exists,null,,,computable,ASA I-III,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_inc__item2_C3,NCT03434951_inc__item2,C3,inclusion_criteria.children[1].children[2],lab,ASA,exists,null,,,computable,ASA I-III,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_inc__item3_C1,NCT03434951_inc__item3,C1,inclusion_criteria.children[2],other,written consent,exists,null,,,partial,written consent,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item1_C1,NCT03434951_exc__item1,C1,exclusion_criteria.children[0],procedure,rearthroplasty,exists,null,,,computable,rearthroplasty,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item2_C1,NCT03434951_exc__item2,C1,exclusion_criteria.children[1].children[0],lab,ASA,exists,null,,,computable,ASA IV-V,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item2_C2,NCT03434951_exc__item2,C2,exclusion_criteria.children[1].children[1],lab,ASA,exists,null,,,computable,ASA IV-V,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item3_C1,NCT03434951_exc__item3,C1,exclusion_criteria.children[2],procedure,reliable pain assessment,exists,null,,,computable,inadequate spoken finnish for reliable pain assessment,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item4_C1,NCT03434951_exc__item4,C1,exclusion_criteria.children[3].children[0],condition,Dementia,exists,null,,,computable,Dementia,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item4_C2,NCT03434951_exc__item4,C2,exclusion_criteria.children[3].children[1],condition,impaired cognition,exists,null,,,computable,otherwise impaired cognition,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item5_C1,NCT03434951_exc__item5,C1,exclusion_criteria.children[4].children[0],condition,contraindication,exists,null,,,computable,contraindication for any medication or substance used in survey protocol,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item5_C2,NCT03434951_exc__item5,C2,exclusion_criteria.children[4].children[1],condition,contraindication,exists,null,,,computable,contraindication for any medication or substance used in survey protocol,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item6_C1,NCT03434951_exc__item6,C1,exclusion_criteria.children[5].children[0],lab,weight,<,scalar,50,kg,computable,weight <50kg,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item6_C2,NCT03434951_exc__item6,C2,exclusion_criteria.children[5].children[1],lab,BMI,=,scalar,35,kg,computable,BMI =35 kg/m2,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item7_C1,NCT03434951_exc__item7,C1,exclusion_criteria.children[6],lab,SpO2,<,scalar,2,l,computable,preoperative SpO2 less than 93%,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item8_C1,NCT03434951_exc__item8,C1,exclusion_criteria.children[7],other,clinical suspicion that subject can not use PCA adequately,exists,null,,,partial,clinical suspicion that subject can not use PCA adequately,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item9_C1,NCT03434951_exc__item9,C1,exclusion_criteria.children[8].children[0],condition,substance abuse,exists,null,,,computable,history of substance abuse or current excessive use of alcohol,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item9_C2,NCT03434951_exc__item9,C2,exclusion_criteria.children[8].children[1],condition,excessive use of alcohol,exists,null,,,computable,history of substance abuse or current excessive use of alcohol,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item10_C1,NCT03434951_exc__item10,C1,exclusion_criteria.children[9].children[0],drug,pregabalin,exists,null,,,partial,"preoperative use of either pregabalin, gabapentin or strong opiates",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item10_C2,NCT03434951_exc__item10,C2,exclusion_criteria.children[9].children[1],drug,gabapentin,exists,null,,,partial,"preoperative use of either pregabalin, gabapentin or strong opiates",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03434951,NCT03434951_exc__item10_C3,NCT03434951_exc__item10,C3,exclusion_criteria.children[9].children[2],drug,strong opiates,exists,null,,,partial,"preoperative use of either pregabalin, gabapentin or strong opiates",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_inc__item1_C1,NCT02056626_inc__item1,C1,inclusion_criteria.children[0],vital,systolic blood pressure,between,range,"{""min"": 140, ""max"": 160}",mmHg,computable,systolic blood pressure between 140-160 mmHG,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_inc__item2_C1,NCT02056626_inc__item2,C1,inclusion_criteria.children[1],demographic,age,between,range,"{""min"": 18, ""max"": 80}",year,computable,between 18-80 years old,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_exc__item1_C1,NCT02056626_exc__item1,C1,exclusion_criteria.children[0],condition,abnormal renal function,exists,null,,,computable,abnormal renal function,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_exc__item2_C1,NCT02056626_exc__item2,C1,exclusion_criteria.children[1].children[0],condition,pregnant,exists,null,,,computable,currently pregnant,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_exc__item2_C2,NCT02056626_exc__item2,C2,exclusion_criteria.children[1].children[1],condition,pregnant,exists,null,,,computable,trying to become pregnant,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_exc__item3_C1,NCT02056626_exc__item3,C1,exclusion_criteria.children[2],drug,beta-blocker,exists,null,,,computable,being treated with a beta-blocker,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02056626,NCT02056626_exc__item4_C1,NCT02056626_exc__item4,C1,exclusion_criteria.children[3],drug,illicit drugs,exists,null,,,computable,use of illicit drugs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item1_C1,NCT02783859_inc__item1,C1,inclusion_criteria.children[0].children[0],other,hospitalised children,exists,null,,,partial,Hospitalised children,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item1_C2,NCT02783859_inc__item1,C2,inclusion_criteria.children[0].children[1],other,aged 3-mo to 5-yrs,exists,null,,,partial,aged 3-mo to 5-yrs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item1_C3,NCT02783859_inc__item1,C3,inclusion_criteria.children[0].children[2],other,"in Darwin, children have to be Indigenous",exists,null,,,partial,"(in Darwin, children have to be Indigenous)",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C1,NCT02783859_inc__item2,C1,inclusion_criteria.children[1].children[0].children[0],condition,pneumonia,exists,null,,,computable,Have features of severe pneumonia on admission,,,critical_qualifier_missing_from_entity,,layer1c:critical_qualifier_missing_from_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:critical_qualifier_missing_from_entity,1.0,1,0
A,NCT02783859,NCT02783859_inc__item2_C2,NCT02783859_inc__item2,C2,inclusion_criteria.children[1].children[0].children[1],lab,temperature,>,scalar,37.5,,computable,temperature >37.5 celsius,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C3,NCT02783859_inc__item2,C3,inclusion_criteria.children[1].children[1],other,a history of fever at home,exists,null,,,partial,a history of fever at home,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C4,NCT02783859_inc__item2,C4,inclusion_criteria.children[1].children[2],other,fever observed at the referring clinic,exists,null,,,partial,observed at the referring clinic,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C5,NCT02783859_inc__item2,C5,inclusion_criteria.children[1].children[3],lab,respiratory rate,>,scalar,50,,computable,respiratory rate>50 if <12-months,,,condition_context_present_without_handling,exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling,layer1c:condition_context_present_without_handling;layer1d:exception_or_condition_clause_with_computable_status;layer1d:exception_or_condition_clause_without_context_handling,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:condition_context_present_without_handling|exception_or_condition_clause_with_computable_status|exception_or_condition_clause_without_context_handling,1.0,3,0
A,NCT02783859,NCT02783859_inc__item2_C6,NCT02783859_inc__item2,C6,inclusion_criteria.children[1].children[4].children[0],lab,respiratory rate,>,scalar,40,,computable,respiratory rate>40 if >12-months,,,condition_context_present_without_handling,exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling,layer1c:condition_context_present_without_handling;layer1d:exception_or_condition_clause_with_computable_status;layer1d:exception_or_condition_clause_without_context_handling,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:condition_context_present_without_handling|exception_or_condition_clause_with_computable_status|exception_or_condition_clause_without_context_handling,1.0,3,0
A,NCT02783859,NCT02783859_inc__item2_C7,NCT02783859_inc__item2,C7,inclusion_criteria.children[1].children[4].children[1],condition,chest wall recession,exists,null,,,computable,chest wall recession,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C8,NCT02783859_inc__item2,C8,inclusion_criteria.children[1].children[5].children[0],lab,oxygen saturation,<,scalar,92,%,computable,oxygen saturation <92% in air,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C9,NCT02783859_inc__item2,C9,inclusion_criteria.children[1].children[5].children[1],condition,consolidation,exists,null,,,computable,consolidation on chest X-ray,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item2_C10,NCT02783859_inc__item2,C10,inclusion_criteria.children[1].children[5].children[2],other,consolidation on chest X-ray as diagnosed by treating clinician,exists,null,,,partial,as diagnosed by treating clinician,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item3_C1,NCT02783859_inc__item3,C1,inclusion_criteria.children[2].children[0],other,after 1-3 days of IV antibiotics,exists,null,,,partial,After 1-3 days of IV antibiotics,,,duration_marker_missing_from_temporal_context,,layer1c:duration_marker_missing_from_temporal_context,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:duration_marker_missing_from_temporal_context,1.0,1,0
A,NCT02783859,NCT02783859_inc__item3_C2,NCT02783859_inc__item3,C2,inclusion_criteria.children[2].children[1],other,are afebrile,exists,null,,,partial,are afebrile,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item3_C3,NCT02783859_inc__item3,C3,inclusion_criteria.children[2].children[2],other,with improved respiratory symptoms and signs,exists,null,,,partial,with improved respiratory symptoms and signs,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item3_C4,NCT02783859_inc__item3,C4,inclusion_criteria.children[2].children[3],other,oxygen saturation > 90% in air,>,scalar,90,%,computable,oxygen saturation>90% in air,,,comparison_with_non_quantitative_entity,,layer1c:comparison_with_non_quantitative_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:comparison_with_non_quantitative_entity,1.0,1,0
A,NCT02783859,NCT02783859_inc__item3_C5,NCT02783859_inc__item3,C5,inclusion_criteria.children[2].children[4],other,are ready to be switched to oral amoxicillin-clavulanate,exists,null,,,partial,are ready to be switched to oral amoxicillin-clavulanate,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_inc__item4_C1,NCT02783859_inc__item4,C1,inclusion_criteria.children[3],condition,symptoms,not_exists,null,,,computable,Have symptoms of no longer than 7 days at point of hospitalisation.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item1_C1,NCT02783859_exc__item1,C1,exclusion_criteria.children[0],condition,wheeze,exists,null,,,computable,Current wheeze,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item2_C1,NCT02783859_exc__item2,C1,exclusion_criteria.children[1].children[0],condition,chronic illness,exists,null,,,computable,Underlying chronic illness other than asthma,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item2_C2,NCT02783859_exc__item2,C2,exclusion_criteria.children[1].children[1],observation,underlying chronic illness could potentially influence the current illness,exists,null,,,non_computable,that could potentially influence the current illness,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item3_C1,NCT02783859_exc__item3,C1,exclusion_criteria.children[2].children[0],lab,weight-for-height Z-score,<,scalar,3,,computable,Severe malnutrition (weight-for-height Z-score <-3),,duplicate_identical_leaf,critical_qualifier_missing_from_entity,,layer1b:duplicate_identical_leaf;layer1c:critical_qualifier_missing_from_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:critical_qualifier_missing_from_entity,1.0,1,0
A,NCT02783859,NCT02783859_exc__item3_C2,NCT02783859_exc__item3,C2,exclusion_criteria.children[2].children[1],lab,weight-for-height Z-score,<,scalar,3,,computable,weight-for-height Z-score <-3,,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item4_C1,NCT02783859_exc__item4,C1,exclusion_criteria.children[3].children[0],condition,"Complicated (effusion, empyema or abscess) pneumonia, including",exists,null,,,computable,"Complicated (effusion, empyema or abscess) pneumonia",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item4_C2,NCT02783859_exc__item4,C2,exclusion_criteria.children[3].children[1],condition,"Complicated (effusion, empyema or abscess) pneumonia, including",exists,null,,,computable,"Complicated (effusion, empyema or abscess) pneumonia",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item4_C3,NCT02783859_exc__item4,C3,exclusion_criteria.children[3].children[2].children[0],condition,"Complicated (effusion, empyema or abscess) pneumonia, including",exists,null,,,computable,"Complicated (effusion, empyema or abscess) pneumonia",,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item4_C4,NCT02783859_exc__item4,C4,exclusion_criteria.children[3].children[2].children[1],condition,tuberculosis,exists,null,,,computable,"pneumonia, including tuberculosis",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item5_C1,NCT02783859_exc__item5,C1,exclusion_criteria.children[4].children[0],condition,infection,exists,null,,,computable,Extra-pulmonary infection requiring antibiotic therapy (e.g. meningitis),,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item5_C2,NCT02783859_exc__item5,C2,exclusion_criteria.children[4].children[1],condition,infection,exists,null,,,computable,Extra-pulmonary infection requiring antibiotic therapy (e.g. meningitis),,duplicate_identical_leaf,,,layer1b:duplicate_identical_leaf,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item6_C1,NCT02783859_exc__item6,C1,exclusion_criteria.children[5],condition,allergy,exists,null,,,computable,Beta-lactam allergy,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item7_C1,NCT02783859_exc__item7,C1,exclusion_criteria.children[6],observation,previously enrolled,exists,null,,,partial,Previously enrolled,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item8_C1,NCT02783859_exc__item8,C1,exclusion_criteria.children[7].children[0],other,lack a mobile phone,exists,null,,,non_computable,Lack a mobile phone and/or unable to return for follow-up clinic visits during the next 24 months,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT02783859,NCT02783859_exc__item8_C2,NCT02783859_exc__item8,C2,exclusion_criteria.children[7].children[1],other,unable to return for follow-up clinic visits during the next 24 months,exists,null,,,non_computable,unable to return for follow-up clinic visits during the next 24 months,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03420638,NCT03420638_inc__item1_C1,NCT03420638_inc__item1,C1,inclusion_criteria.children[0],procedure,palatine tonsillectomy,exists,null,,,computable,Scheduled to undergo bilateral palatine tonsillectomy,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03420638,NCT03420638_inc__item1_C2,NCT03420638_inc__item1,C2,inclusion_criteria.children[1],other,bilateral palatine tonsillectomy is the only procedure,exists,null,,,partial,as the only procedure,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03420638,NCT03420638_exc__item1_C1,NCT03420638_exc__item1,C1,exclusion_criteria.children[0],condition,systemic disease,exists,null,,,computable,Presence of severe systemic disease,,,critical_qualifier_missing_from_entity,,layer1c:critical_qualifier_missing_from_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:critical_qualifier_missing_from_entity,1.0,1,0
