plan_id,branch_to_update,criterion_id,final_decision,selected_source,apply_status,apply_action,skip_reason,changed_fields,old_entity_text,new_entity_text,old_operator,new_operator,old_value_type,new_value_type,old_value,new_value,old_unit,new_unit,old_computability,new_computability,local_validation_status,local_validation_reasons,decision,old_negated,new_negated,selection_reason,confidence
B__NCT02745704_exc__item9_C1__B_main_llm_rescue__polarity_negation_repair,B,NCT02745704_exc__item9_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],ability to return to clinic for scheduled follow-up,ability to return to clinic for scheduled follow-up,not_exists,not_exists,null,null,,,,,non_computable,non_computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT02777424_inc__item1_C3__B_main_llm_rescue__entity_regrounding,B,NCT02777424_inc__item1_C3,select_candidate,LLM_candidate_2,applied,apply_selected_candidate_leaf,,"[""entity_text""]",neurological surgery required,requiring neurological surgery,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_2 with score 4.50/5, improving by at least 0.25.",high
B__NCT02779374_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT02779374_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],woman,woman,=,=,scalar,scalar,female,female,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT02779374_inc__item1_C6__B_main_llm_rescue__entity_regrounding,B,NCT02779374_inc__item1_C6,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],FSH level above 25 IU/L repeated twice >4 weeks apart,FSH level above 25 IU/L repeated twice >4 weeks apart,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT02780427_inc__item1_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT02780427_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],child,child,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT02780427_inc__item1_C3__B_main_llm_rescue__entity_regrounding,B,NCT02780427_inc__item1_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],ASA physical status classification,ASA physical status classification,in,in,list,list,"[""I"", ""II""]","[""I"", ""II""]",,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT02783859_exc__item2_C1__B_main_llm_rescue__condition_exception_context_recovery,B,NCT02783859_exc__item2_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],underlying chronic illness other than asthma,underlying chronic illness other than asthma,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT02783859_exc__item2_C2__B_main_llm_rescue__entity_regrounding,B,NCT02783859_exc__item2_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],underlying chronic illness could potentially influence the current illness,underlying chronic illness could potentially influence the current illness,exists,exists,null,null,,,,,non_computable,non_computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT02783859_exc__item3_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT02783859_exc__item3_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""entity_type"", ""operator"", ""value"", ""value_type"", ""computability"", ""non_computable_reason""]",severe malnutrition,weight-for-height Z-score,exists,<,null,scalar,,-3,,,partial,computable,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_1 with score 5.00/5, improving by at least 0.25.",high
B__NCT02783859_exc__item5_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT02783859_exc__item5_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""non_computable_reason""]",extra-pulmonary infection,Extra-pulmonary infection requiring antibiotic therapy,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.38/5). The best generated candidate was LLM_candidate_1 with score 4.25/5, improving by at least 0.25.",high
B__NCT02783859_exc__item8_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT02783859_exc__item8_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],mobile phone,mobile phone,not_exists,not_exists,null,null,,,,,partial,partial,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged.,medium
B__NCT02783859_inc__item2_C10__B_main_llm_rescue__history_context_recovery,B,NCT02783859_inc__item2_C10,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],diagnosed by treating clinician,diagnosed by treating clinician,exists,exists,null,null,,,,,non_computable,non_computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.62/5; B_current score 3.62/5.,low
B__NCT02783859_inc__item2_C5__B_main_llm_rescue__condition_exception_context_recovery,B,NCT02783859_inc__item2_C5,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""non_computable_reason""]",respiratory rate,respiratory rate,>,>,scalar,scalar,50,50,breaths/min,breaths/min,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT02783859_inc__item2_C6__B_main_llm_rescue__condition_exception_context_recovery,B,NCT02783859_inc__item2_C6,select_candidate,LLM_candidate_2,applied,apply_selected_candidate_leaf,,"[""non_computable_reason""]",respiratory rate,respiratory rate,>,>,scalar,scalar,40,40,breaths/min,breaths/min,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_2 with score 4.25/5, improving by at least 0.25.",high
B__NCT02783859_inc__item3_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT02783859_inc__item3_C1,select_candidate,LLM_candidate_3,applied,apply_selected_candidate_leaf,,"[""operator"", ""temporal_context"", ""computability"", ""non_computable_reason""]",IV antibiotics,IV antibiotics,exists,between,range,range,"{""min"": 1, ""max"": 3}","{""min"": 1, ""max"": 3}",day,day,partial,computable,pass,[],select_candidate,,,"B_current failed or was weaker (4.00/5). The best generated candidate was LLM_candidate_3 with score 4.40/5, improving by at least 0.25.",high
B__NCT02818816_exc__item1_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT02818816_exc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],ophthalmic surgical procedure,ophthalmic surgical procedure,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.19/5; B_current score 4.19/5.,low
B__NCT02818816_exc__item3_C2__B_main_llm_rescue__polarity_negation_repair,B,NCT02818816_exc__item3_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],reliable applanation tonometry,reliable applanation tonometry,not_exists,not_exists,null,null,,,,,non_computable,non_computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.25/5; B_current score 2.25/5.,low
B__NCT02818816_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT02818816_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT02818816_inc__item2_C2__B_main_llm_rescue__entity_regrounding,B,NCT02818816_inc__item2_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],prostate surgery required,prostate surgery required,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT02874092_exc__item13_C5__B_main_llm_rescue__condition_exception_context_recovery,B,NCT02874092_exc__item13_C5,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],permanent pacemaker,permanent pacemaker,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT02874092_exc__item19_C2__B_main_llm_rescue__entity_regrounding,B,NCT02874092_exc__item19_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],use of acceptable method of birth control,use of acceptable method of birth control,not_exists,not_exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT02874092_exc__item19_C3__B_main_llm_rescue__entity_regrounding,B,NCT02874092_exc__item19_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],use of acceptable method of birth control,use of acceptable method of birth control,not_exists,not_exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.69/5; B_current score 3.69/5.,low
B__NCT02874092_exc__item5_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT02874092_exc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],chronic oral anticoagulant therapy,chronic oral anticoagulant therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT02874092_exc__item7_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT02874092_exc__item7_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],eGFR,eGFR,<,<,scalar,scalar,30,30,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.88/5; B_current score 3.88/5.,low
B__NCT02874092_exc__item7_C2__B_main_llm_rescue__value_or_operator_recovery,B,NCT02874092_exc__item7_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],dialysis,dialysis,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT02884115_inc__item1_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT02884115_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],early syphilis,early syphilis,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT02884115_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT02884115_inc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],serofast status,serofast status,exists,exists,scalar,scalar,serofast,serofast,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.62/5; B_current score 2.62/5.,low
B__NCT02923700_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT02923700_inc__item1_C2,select_candidate,LLM_candidate_2,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""evidence_text""]",chronic pain,pain,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_2 with score 4.31/5, improving by at least 0.25.",high
B__NCT02923700_inc__item1_C3__B_main_llm_rescue__entity_regrounding,B,NCT02923700_inc__item1_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],chronic swelling,chronic swelling,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.19/5; B_current score 4.19/5.,low
B__NCT02926235_exc__item2_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT02926235_exc__item2_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],participate in an outpatient physical therapy program for 3 days per week,participate in an outpatient physical therapy program for 3 days per week,not_exists,not_exists,scalar,scalar,3,3,day/week,day/week,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT02944292_inc__item3_C3__B_main_llm_rescue__entity_regrounding,B,NCT02944292_inc__item3_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],IAP measurements,IAP measurements,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.50/5; B_current score 2.50/5.,low
B__NCT02944292_inc__item6_C1__B_main_llm_rescue__condition_exception_context_recovery,B,NCT02944292_inc__item6_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],physician-led sedation,physician-led sedation,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT02996916_inc__item2_C1__B_main_llm_rescue__entity_regrounding,B,NCT02996916_inc__item2_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.25/5; B_current score 3.25/5.,low
B__NCT02996916_inc__item2_C2__B_main_llm_rescue__entity_regrounding,B,NCT02996916_inc__item2_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,female,female,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.88/5; B_current score 3.88/5.,low
B__NCT03026465_exc__item5_C1__B_main_llm_rescue__entity_regrounding,B,NCT03026465_exc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],malignancies with life expectancy less than 12 months,malignancies with life expectancy less than 12 months,<,<,scalar,scalar,12,12,month,month,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT03026465_exc__item5_C3__B_main_llm_rescue__entity_regrounding,B,NCT03026465_exc__item5_C3,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],malignancies that may result in protocol noncompliance,malignancies that may result in protocol noncompliance,exists,exists,null,null,,,,,non_computable,non_computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.62/5 >= 4.50/5); kept unchanged.,medium
B__NCT03026465_exc__item5_C4__B_main_llm_rescue__entity_regrounding,B,NCT03026465_exc__item5_C4,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],other comorbid conditions that may result in protocol noncompliance,other comorbid conditions that may result in protocol noncompliance,exists,exists,null,null,,,,,non_computable,non_computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.62/5 >= 4.50/5); kept unchanged.,medium
B__NCT03026465_exc__item7_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT03026465_exc__item7_C1,select_candidate,LLM_candidate_2,applied,apply_selected_candidate_leaf,,"[""entity_text""]",pregnancy (present),"Pregnancy (present, suspected, or planned)",exists,exists,null,null,,,,,computable,computable,pass,[],select_candidate,,,"B_current failed or was weaker (4.12/5). The best generated candidate was LLM_candidate_2 with score 4.88/5, improving by at least 0.25.",high
B__NCT03026465_exc__item7_C2__B_main_llm_rescue__entity_regrounding,B,NCT03026465_exc__item7_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""history_context"", ""non_computable_reason""]",pregnancy (suspected),"Pregnancy (present, suspected, or planned)",exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.75/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT03026465_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT03026465_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Age,Age,>,>,scalar,scalar,18,18,year,year,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03026465_inc__item2_C3__B_main_llm_rescue__entity_regrounding,B,NCT03026465_inc__item2_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],de novo stenosis in native coronary vessels,de novo stenosis in native coronary vessels,>,>,scalar,scalar,50,50,%,%,partial,partial,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03027115_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT03027115_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03027115_inc__item3_C2__B_main_llm_rescue__entity_regrounding,B,NCT03027115_inc__item3_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""entity_type""]",surgical intervention for hernia,hernia requiring surgical intervention,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.12/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT03066440_inc__item4_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT03066440_inc__item4_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""entity_type"", ""operator"", ""value"", ""value_type"", ""unit""]",Hyperglycemia,Serum glucose,exists,>,null,scalar,,200,,mg/dl,computable,computable,pass,[],select_candidate,,,"B_current failed or was weaker (3.25/5). The best generated candidate was LLM_candidate_1 with score 4.88/5, improving by at least 0.25.",high
B__NCT03104816_exc__item1_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT03104816_exc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],surgery for neoplastic processes,surgery for neoplastic processes,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT03104816_exc__item3_C2__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT03104816_exc__item3_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""history_context""]",elevated Liver Function Tests (LFTs),elevated Liver Function Tests (LFTs),exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_1 with score 4.62/5, improving by at least 0.25.",high
B__NCT03104816_exc__item7_C1__B_main_llm_rescue__entity_regrounding,B,NCT03104816_exc__item7_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],pregnant,pregnant,exists,exists,null,null,,,,,computable,computable,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged.,medium
B__NCT03104816_exc__item8_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT03104816_exc__item8_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""operator"", ""value"", ""value_type"", ""unit"", ""temporal_context"", ""non_computable_reason""]",long-acting opioid pain management,long-acting opioid pain management,exists,>,null,scalar,,3,,week,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.38/5). The best generated candidate was LLM_candidate_1 with score 4.19/5, improving by at least 0.25.",high
B__NCT03104816_inc__item1_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT03104816_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],ASA physical status classification,ASA physical status classification,in,in,list,list,"[""I"", ""II"", ""III""]","[""I"", ""II"", ""III""]",,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03104816_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT03104816_inc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],"minimally invasive lumbar fusion (elective), 1-2 levels","minimally invasive lumbar fusion (elective), 1-2 levels",exists,exists,range,range,"{""min"": 1, ""max"": 2}","{""min"": 1, ""max"": 2}",level,level,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.06/5; B_current score 4.06/5.,low
B__NCT03113253_inc__item2_C1__B_main_llm_rescue__entity_regrounding,B,NCT03113253_inc__item2_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03113253_inc__item2_C2__B_main_llm_rescue__entity_regrounding,B,NCT03113253_inc__item2_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,female,female,,,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (4.75/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03132259_exc__item3_C1__B_main_llm_rescue__polarity_negation_repair,B,NCT03132259_exc__item3_C1,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""operator""]",Beta-Blockers,Beta-Blockers,exists,not_exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (2.50/5). The best generated candidate was LLM_candidate_1 with score 4.50/5, improving by at least 0.25.",high
B__NCT03132259_inc__item5_C1__B_main_llm_rescue__entity_regrounding,B,NCT03132259_inc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],extubation ability,extubation ability,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT03176316_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT03176316_inc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Age,Age,>=,>=,scalar,scalar,18,18,year,year,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03177811_exc__item1_C2__B_main_llm_rescue__value_or_operator_recovery,B,NCT03177811_exc__item1_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""non_computable_reason""]",very severe COPD with hypoxemia at low altitude,"very severe COPD with hypoxemia at low altitude (FEV1/FVC <0.7, FEV1 <40% predicted, oxygen saturation on room air <92% at 750 m)",exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.00/5). The best generated candidate was LLM_candidate_1 with score 4.69/5, improving by at least 0.25.",high
B__NCT03177811_exc__item2_C1__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT03177811_exc__item2_C1,no_change,B_current,skipped,no_update,not_applicable_final_decision:no_change,[],uncontrolled cardiovascular disease,uncontrolled cardiovascular disease,exists,exists,null,null,,,,,partial,partial,pass,[],no_change,,,B_current passed the De Jure-style judge threshold (4.69/5 >= 4.50/5); kept unchanged.,medium
B__NCT03177811_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT03177811_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,male,male,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.38/5; B_current score 3.38/5.,low
B__NCT03177811_inc__item1_C2__B_main_llm_rescue__entity_regrounding,B,NCT03177811_inc__item1_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],sex,sex,=,=,scalar,scalar,female,female,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.12/5; B_current score 4.12/5.,low
B__NCT03177811_inc__item3_C1__B_main_llm_rescue__entity_regrounding,B,NCT03177811_inc__item3_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Born at low altitude (<800m),Born at low altitude (<800m),exists,exists,range,range,"{""min"": null, ""max"": 800}","{""min"": null, ""max"": 800}",m,m,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.62/5; B_current score 3.62/5.,low
B__NCT03177811_inc__item3_C2__B_main_llm_rescue__entity_regrounding,B,NCT03177811_inc__item3_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Raised at low altitude (<800m),Raised at low altitude (<800m),exists,exists,range,range,"{""min"": null, ""max"": 800}","{""min"": null, ""max"": 800}",m,m,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT03177811_inc__item3_C3__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT03177811_inc__item3_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Currently living at low altitude (<800m),Currently living at low altitude (<800m),exists,exists,range,range,"{""min"": null, ""max"": 800}","{""min"": null, ""max"": 800}",m,m,partial,partial,fail,"[""existence_operator_with_non_null_value_type""]",human_review,,,B_current passed the De Jure-style judge threshold (4.50/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03247413_exc__item5_C1__B_main_llm_rescue__polarity_negation_repair,B,NCT03247413_exc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],English speaking,English speaking,not_exists,not_exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.88/5; B_current score 3.88/5.,low
B__NCT03255044_inc__item1_C1__B_main_llm_rescue__entity_regrounding,B,NCT03255044_inc__item1_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],Age,Age,>,>,scalar,scalar,18,18,year,year,computable,computable,fail,"[""entity_text_not_in_source_context""]",human_review,,,B_current passed the De Jure-style judge threshold (5.00/5 >= 4.50/5); kept unchanged. Local validation failed after selection.,low
B__NCT03255044_inc__item4_C2__B_main_llm_rescue__value_or_operator_recovery,B,NCT03255044_inc__item4_C2,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""entity_text"", ""temporal_context"", ""non_computable_reason""]",Guideline Directed treatment for heart failure,optimized on Guideline Directed treatment for heart failure,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (3.19/5). The best generated candidate was LLM_candidate_1 with score 4.12/5, improving by at least 0.25.",high
B__NCT03260881_exc__item7_C4__B_main_llm_rescue__history_context_recovery,B,NCT03260881_exc__item7_C4,select_candidate,LLM_candidate_1,applied,apply_selected_candidate_leaf,,"[""history_context""]",diabetes secondary to pancreatitis,diabetes secondary to pancreatitis,exists,exists,null,null,,,,,partial,partial,pass,[],select_candidate,,,"B_current failed or was weaker (4.25/5). The best generated candidate was LLM_candidate_1 with score 4.69/5, improving by at least 0.25.",high
